,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,perc_approved_sem1,perc_approved_sem2,actual_target
3045,1,17,2,9853,1,1,Q1,1,1,1,3,9,Q1,1,0,0,1,0,0,Q1,0,0,6,8,5,13.0,0,0,6,8,4,10.75,0,Q1,Q1,-3.12,Graduate,Q1,Q1,0
1617,1,39,1,8014,0,1,Q1,1,37,1,7,4,Q1,1,0,0,1,0,0,Q3,0,0,6,8,5,11.4,0,0,6,8,5,11.8,0,Q4,Q4,-4.06,Dropout,Q1,Q1,1
2242,1,43,1,9119,1,1,Q1,1,1,38,4,7,Q1,0,0,0,1,1,0,Q1,0,0,5,8,5,12.0,0,0,5,12,2,10.5,0,Q3,Q1,0.79,Enrolled,Q2,Q1,0
3549,1,1,1,9500,1,1,Q1,1,2,19,3,9,Q1,0,0,0,1,1,0,Q3,0,0,7,7,6,13.483333333333334,0,0,7,7,6,13.483333333333334,0,Q1,Q3,0.32,Graduate,Q1,Q2,0
3120,2,1,1,9991,0,2,Q1,1,37,37,6,3,Q2,0,0,0,1,0,0,Q4,0,4,10,16,5,11.4,0,4,10,10,6,12.833333333333334,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
1275,1,17,2,9254,1,1,Q2,1,19,19,4,7,Q1,1,0,0,1,0,0,Q1,0,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
1471,1,44,1,9003,1,39,Q1,1,3,3,7,1,Q2,1,0,0,1,1,0,Q2,0,0,6,12,4,11.6,0,0,6,11,5,11.5,0,Q4,Q4,-4.06,Enrolled,Q1,Q1,0
3515,1,43,1,9773,1,1,Q1,1,1,1,4,5,Q1,1,0,0,1,1,0,Q3,0,0,6,15,1,13.0,0,0,6,8,4,11.25,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
2763,1,43,1,8014,0,3,Q2,1,9,9,90,90,Q2,0,0,0,1,0,0,Q4,0,8,11,16,10,11.8,0,3,7,7,7,13.285714285714286,0,Q1,Q3,0.32,Graduate,Q2,Q2,0
3738,1,17,4,9119,1,1,Q1,1,3,1,9,3,Q1,1,0,0,1,1,0,Q1,0,0,5,5,5,13.6,0,0,5,6,5,14.6,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
2712,1,1,2,9147,1,1,Q1,1,37,38,7,9,Q1,0,0,1,1,0,1,Q1,0,0,5,11,2,11.5,0,0,5,10,0,0.0,0,Q3,Q4,-1.7,Dropout,Q1,Q1,1
4009,1,17,5,9254,1,1,Q1,1,38,1,5,9,Q1,0,0,0,1,1,0,Q1,0,0,5,5,0,0.0,0,0,5,10,0,0.0,0,Q2,Q2,1.74,Dropout,Q1,Q1,1
3269,1,43,2,9773,1,1,Q1,1,34,34,0,0,Q1,1,0,0,1,0,0,Q4,0,4,8,11,7,13.285714285714286,0,4,7,13,5,11.6,0,Q1,Q1,-3.12,Dropout,Q2,Q1,1
73,1,17,4,9254,1,1,Q1,1,38,37,5,7,Q1,1,0,0,1,1,0,Q1,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,Q3,Q2,1.79,Dropout,Q1,Q1,1
1200,1,1,1,9130,1,1,Q2,1,1,19,4,4,Q2,0,0,0,1,0,0,Q1,0,0,6,7,6,15.571428571428571,0,0,6,7,6,14.714285714285714,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
230,1,1,2,9254,1,1,Q2,1,1,37,4,5,Q1,1,0,0,1,0,0,Q1,0,0,6,10,6,12.857142857142858,0,0,6,6,3,12.666666666666666,0,Q3,Q4,-1.7,Graduate,Q2,Q1,0
3546,1,17,4,9500,1,1,Q2,1,19,38,9,6,Q2,1,0,0,1,1,1,Q1,0,0,7,8,7,12.5125,0,0,8,8,8,14.1875,0,Q3,Q1,0.79,Graduate,Q2,Q2,0
1295,2,39,1,8014,0,19,Q2,1,1,1,4,4,Q2,0,0,0,1,1,0,Q3,0,0,6,14,1,10.0,0,0,5,5,0,0.0,0,Q4,Q1,-0.92,Dropout,Q1,Q1,1
3996,1,1,1,9853,1,1,Q1,1,1,1,9,9,Q1,1,0,0,1,0,0,Q1,0,0,6,11,3,12.0,0,0,6,13,2,12.0,0,Q3,Q4,-1.7,Dropout,Q1,Q1,1
94,2,39,1,8014,0,1,Q2,1,37,19,9,9,Q1,0,0,0,1,0,0,Q4,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,Q3,Q4,-1.7,Graduate,Q2,Q2,0
1828,1,7,1,9500,1,3,Q1,1,37,37,4,5,Q1,0,0,1,0,0,0,Q4,0,0,7,7,0,0.0,7,0,7,7,0,0.0,7,Q3,Q1,0.79,Dropout,Q1,Q1,1
2925,1,1,1,9773,1,1,Q2,1,37,37,9,7,Q2,0,0,0,1,0,1,Q1,0,0,6,6,6,14.5,0,0,6,6,6,14.666666666666666,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
3266,1,17,2,9670,1,1,Q1,1,3,1,3,1,Q1,0,0,0,1,0,0,Q1,0,0,5,5,5,13.4,0,0,5,5,5,14.0,0,Q1,Q1,-3.12,Graduate,Q2,Q2,0
1215,1,1,1,9500,1,1,Q2,1,3,38,3,7,Q2,0,0,0,1,0,1,Q1,0,0,7,7,7,16.9,0,0,8,9,8,16.37777777777778,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
2084,1,1,1,9773,1,1,Q1,1,19,37,9,9,Q1,0,0,0,1,0,1,Q1,0,0,6,7,6,14.285714285714286,0,0,6,6,6,13.166666666666666,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
4259,1,1,1,9773,1,1,Q2,1,37,19,9,10,Q2,1,0,0,1,0,0,Q1,0,0,6,12,3,13.0,0,0,6,13,2,14.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
3412,1,17,1,9147,1,1,Q2,1,38,38,7,5,Q2,0,0,0,1,0,0,Q1,0,0,5,9,1,11.0,1,0,5,10,0,0.0,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
3824,1,1,1,9119,1,1,Q2,1,1,38,4,3,Q2,1,0,0,1,1,0,Q1,0,0,5,5,0,0.0,0,0,5,6,1,15.0,0,Q2,Q2,1.74,Enrolled,Q1,Q1,0
